SUB-UNIT UIC,SUB-UNIT NAME
DGJAA,3RD BN 60TH INF
DGGAA,4TH BN 47TH INF
DGJAA,3RD BN 60TH INF
DGGAA,4TH BN 47TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGFAA,3RD BN 47TH INF
DGEAA,2ND BN 47TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DF2AA,3RD BN 5TH CAV
DFYAA,15TH ENG EN
DFWAA,9TH AVN BN
D3KAA,H BTRY 29THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGMAA,2ND BN 4TH ARTY
DGJAA,3RD BN 60TH INF
DGMAA,2ND BN 4TH ARTY
DGJAA,3RD BN 60TH INF
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGMAA,2ND BN 4TH ARTY
DGLAA,1ST BN 11THARTY
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGMAA,2ND BN 4TH ARTY
DGHAA,2ND BN 60TH INF
DFWAA,9TH AVN BN
DGHAA,2ND BN 60TH INF
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DFYAA,15TH ENG BN
DFXAA,9TH SIBNAL BN
DFWAA,9TH AVN BN
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGJAA,3RD BN 60TH INF
DGLAA,1ST BN 11THARTY
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGLAA,1ST BN 11THARTY
DGKAA,5TH BN 60TH INF
DFWAA,9TH AVN BN
DGKAA,5TH BN 60TH INF
DFYAA,15TH ENG EN
DFWAA,9TH AVN BN
DGBAA,2ND BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGCAA,3RD BN 39TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
DGEAA,2ND BN 47TH INF
DGCAA,3RD BN 39TH INF
DGJAA,3RD BN 60TH INF
D3KAA,H BTRY 29THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGMAA,2ND BN 4TH ARTY
DGJAA,3RD BN 60TH INF
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGBAA,2ND BN 39TH INF
DGMAA,2ND BN 4TH ARTY
