SUB-UNIT UIC,SUB-UNIT NAME
CXDAA,219 LT SURVL CO
DDSAA,184 LT SURVL CO
C5LAA,180 MDM HEL CO
C5JAA,178TH AVN CO
C44AA,176TH AVN CO
C06AA,147 MDM HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C44AA,176TH AVN CO
C42AA,174TH AVN CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C08AA,135 ASLT HEL CO
DYDAA,242ND AVN BN
DYBAA,240 AIR MOB CO
DU0AA,195TH ASLT HEL
FAKAA,11TH AVN BN
DU0AA,195TH ASLT HEL
DUYAA,192ND ASLT HEL
DUXAA,191ST ASLT HEL
DUWAA,190TH ASLT HEL
DUTAA,187 AVN CO
DQLAA,213 MDM HEL CO
DUTAA,187TH AVN CO
DQLAA,213 MDM HEL CO
DYBAA,240 AIR MOB CO
FELAA,162 AIR MOB CO
DYBAA,240 AIR MOB CO
DU3AA,200TH AVN CO
DUWAA,190 AIR MOB CO
FJFAA,281 AIR MOB CO
FJGAA,282 AIR MOB CO
DUWAA,190 AIR MOB CO
DUUAA,188TH AVN CO
DUTAA,187TH AVN CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
CXDAA,219 LT SURVL CO
C02AA,131 SURVL CO
CXDAA,219 LT SURVL CO
C02AA,131 SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
C3FAA,68TH AIR MOB CO
C3EAA,48TH AVN CO
C5LAA,180 MDM HEL CO
DDSAA,184 LT SURVL CO
C3EAA,48TH AVN CO
CXYAA,220 LT SURVL CO
C3EAA,48TH AVN CO
CXYAA,220 LT SURVL CO
C3EAA,48TH AVN CO
C06AA,147 MDM HEL CO
C02AA,131 SURVL CO
CXYAA,220 LT SURVL CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C3FAA,68TH AIR MOB CO
CXDAA,219 LT SURVL CO
AYVAA,74 LT SURVL CO
AYBAA,120 AIR MOB CO
AX9AA,118TH AIR MOBCO
AX8AA,117TH AVN CO
AX1AA,13TH AVN BN
AYVAA,74 LT SURVL CO
AYUAA,73RD AVN CO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
AX1AA,13TH AVN BN
ARTAA,71 ASLT HEL CO
AX1AA,13TH AVN BN
AZNAA,7TH SQ 17TH CAC
ARTAA,71 ASLT HEL CO
AZNAA,7TH SQ 17TH CAC
ARTAA,71 ASLT HEL CO
AYVAA,74TH AVN CO
AYMAA,17TH AVN BN
ARTAA,71 ASLT HEL CO
AYMAA,17TH AVN BN
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
DLJAA,222 CBT SPT AVN
ARBAA,478TH AVN CO
AZNAA,7TH SQ 17TH CAC
ARTAA,71 ASLT HEL CO
AZNAA,7TH SQ 17TH CAC
AYWAA,221 RECON APLCO
AZNAA,7TH SQ 17TH CAC
AYWAA,221 RECON APLCO
AYMAA,17TH ASLT HELCO
AZNAA,7TH SQ 17TH CAC
ARTAA,71 ASLT HEL CO
AYMAA,17TH ASLT HELCO
AX9AA,118 AIR MOB CO
AX8AA,117TH AVN CO
AX2AA,HHD 14TH AVN BN
ARTAA,71 ASLT HEL CO
C3EAA,48TH ASLT HELCO
C3FAA,68 AIR MOB CO
C3GAA,116 AIR MOB CO
C3HAA,128 AIR MOB CO
C3JAA,129 AIR MOB CO
C41AA,173 AIR MOB CO
C42AA,174TH AVN CO
C44AA,176TH AVN CO
C5JAA,178TH AVN CO
C5LAA,180 MDM HEL CO
C7ZAA,155TH AVN CO
DDRAA,183RD AVN CO
DDSAA,184 LT SURVL CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C07AA,134TH AVN CO
CXDAA,219 LT SURVL CO
C07AA,134TH AVN CO
CXDAA,219 LT SURVL CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
DYDAA,242 ASLT HEL CO
D3KAA,H BTRY 29 ARTY
D5RAA,185TH AVN CO
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
DX2AA,203RD AVN CO
DX1AA,199TH AVN CO
DU6AA,205 ASLT HEL CO
DU0AA,195TH ASLT HEL
DUYAA,192 ASLT HEL CO
DUXAA,191ST ASLT HEL
DUWAA,190TH ASLT HEL
DUUAA,188TH AVN CO
DUTAA,187 AVN CO
AAMAA,3RD SQ 17TH CAV
G30AA,307 CBT AVN BN
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GZ6AA,7 ARM SQ 1STCAV
G3ZAA,164TH AVN GP
GPPAA,334 LT OBSN CO
FELAA,162 AIR MOB CO
FJFAA,281 AIR MOB CO
FJGAA,282 ASLT HEL CO
FELAA,162 AIR MOB CO
D8NAA,273 ASLT HEL CO
D5RAA,185TH AVN CO
D3KAA,H BTRY 29 ARTY
D5RAA,185TH AVN CO
DLJAA,222 CBT SPT AVN
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
DX2AA,203RD AVN CO
DX1AA,199TH AVN CO
DU6AA,205 ASLT HEL CO
DU3AA,200 ASLT HEL CO
DU0AA,195TH ASLT HEL
DUYAA,192 ASLT HEL CO
DUWAA,190TH ASLT HEL
DUUAA,188TH AVN CO
DUTAA,187 AVN CO
C3FAA,68TH AIR MOB CO
C3GAA,116 AIR MOB CO
C3HAA,128 AIR MOB CO
C3JAA,129 AIR MOB CO
C41AA,173 AIR MOB CO
C42AA,174TH AVN CO
C44AA,176TH AVN CO
C5JAA,178TH AVN CO
DDSAA,184 LT SURVL CO
DQLAA,213 MDN HEL CO
DUTAA,187 AVN CO
DU3AA,200 AVN CO
DYBAA,240 AIR MOB CO
FELAA,162 AIR MOB CO
FEXAA,161 AIR MOB CO
FJGAA,282 AIR MOB CO
GPPAA,334 LT OBSN CO
C3FAA,68TH AIR MOB CO
C3EAA,48TH ASLT HELCO
C06AA,147 MDM HEL CO
C02AA,131 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
AYVAA,74TH AVN CO
AYUAA,73RD AVN CO
AYFAA,21ST AVN CO
AYBAA,120 AIR MOB CO
AX9AA,118 AIR MOB CO
AX1AA,13TH AVN BN
ARTAA,71ST AVN CO
AX1AA,13TH AVN BN
ARTAA,71ST AVN CO
AX1AA,6TH BN 56THARTY
AX2AA,14TH AVN BN
AX8AA,117TH AVN CO
AX9AA,118 AIR MOB CO
AYBAA,120 AIR MOB CO
AYFAA,1ST AVN CO
AYVAA,74 LT SURVL CO
ARTAA,71 ASLT HEL CO
DDSAA,184 LT SURVL CO
CXDAA,219 LT SURVL CO
DDSAA,184 LT SURVL CO
C02AA,131 SURVL CO
CXDAA,219 LT SURVL CO
DDSAA,184 LT SURVL CO
CYNAA,145 AVN BN
DDSAA,184 LT SURVL CO
CYNAA,145 AVN BN
CXYAA,220 LT SURVL CO
DDSAA,184 LT SURVL CO
C5LAA,180 MDM HEL CO
C5JAA,178TH AVN CO
C44AA,176TH AVN CO
C42AA,174TH AVN CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
C42AA,174TH AVN CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
C3FAA,68 AIR MOB CO
C06AA,147 MDM HEL CO
C02AA,131 SURVL CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
FELAA,162 AIR MOB CO
FEXAA,161ST AVN CO
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
DYBAA,240 AIR MOB CO
DU3AA,200TH AVN CO
DUUAA,188TH AVN CO
DUTAA,187TH AVN CO
DQLAA,213 MDM HEL CO
C41AA,173 AIR MOB CO
C3JAA,129 AIR MOB CO
C08AA,135 ASLT HEL CO
C3GAA,116 AIR MOB CO
C3FAA,68TH AIR MOB CO
C3EAA,48TH ASLT HELCO
DDSAA,184 LT SURVL CO
C3EAA,48TH ASLT HELCO
C08AA,135 ASLT HEL CO
C3JAA,129 AIR MOB CO
CXYAA,220 LT SURVL CO
C3JAA,129 AIR MOB CO
C07AA,134TH AVN CO
C08AA,135 ASLT HEL CO
C07AA,134TH AVN CO
C3JAA,129 AIR MOB CO
C06AA,147 MDM HEL CO
C07AA,134TH AVN CO
C06AA,147 MDM HEL CO
C3JAA,129 AIR MOB CO
C3HAA,128 AIR MOB CO
C07AA,134TH AVN CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
CXDAA,219 LT SURVL CO
CXYAA,220 LT SURVL CO
C3HAA,128 AIR MOB CO
C3GAA,116 AIR MOB CO
G3ZAA,164TH AVN GP
AAWAA,1ST AVN DET
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
GPQAA,335 AIR MOB CO
GPPAA,334 LT OBSN CO
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
AAMAA,3RD SQ 17TH CAV
G3ZAA,164TH AVN GP
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
FJGAA,282 AIR MOB CO
FJFAA,281 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FELAA,162 AIR MOB CO
FJGAA,282 AIR MOB CO
FELAA,162 AIR MOB CO
DYBAA,240 AIR MOB CO
DU6AA,205 ASLT HEL CO
DYBAA,240 AIR MOB CO
FAKAA,11TH AVN BN
DYBAA,240 AIR MOB CO
DYDAA,242 ASLT HEL CO
DYBAA,240 AIR MOB CO
DU6AA,205 ASLT HEL CO
DU0AA,195TH ASLT HEL
DUYAA,192 ASLT HEL CO
DUXAA,191ST ASLT HEL
DUWAA,190 AIR MOB CO
DUTAA,187TH AVN CO
DQLAA,213 MDM HEL CO
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FUZAA,4TH BN 60THARTY
GBTAA,5TH BN 22NDARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
DFSAA,1ST BN 40THARTY
DD1AA,1ST BN 44THARTY
DNNAA,2ND BN 94THARTY
D3EAA,1ST BN 27THARTY
DNNAA,2ND BN 94THARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13THARTY
DNNAA,2ND BN 94 ARTY
DFSAA,1ST BN 40THARTY
A2AAA,2ND BN 32NDARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13THARTY
A2GAA,5TH BN 27THARTY
A2HAA,2ND BN 11THARTY
A2JAA,3RD BN 16THARTY
A2LAA,1ST BN 30THARTY
A2NAA,1ST BN 92NDARTY
A2SAA,2ND BN 35THARTY
DFSAA,1ST BN 40THARTY
DNNAA,2ND BN 94THARTY
D3EAA,1ST BN 27THARTY
FNDAA,7TH BN 13THARTY
FTJAA,7TH BN 9TH ARTY
FUZAA,4TH BN 60THARTY
A2AAA,2ND BN 32NDARTY
A18AA,6TH BN 14THARTY
A11AA,1ST BN 83RDARTY
A1TAA,6TH BN 32THARTY
A1SAA,6TH BN 27THARTY
A1RAA,3RD BN 18THARTY
A1MAA,7TH BN 15 ARTY
A1LAA,7TH BN 8TH ARTY
A2AAA,2ND BN 32NDARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13THARTY
A2AAA,2ND BN 32NDARTY
A18AA,6TH BN 14THARTY
A11AA,1ST BN 83RDARTY
A1TAA,6TH BN 32NDARTY
A1SAA,6TH BN 27THARTY
A2GAA,5TH BN 27THARTY
A2HAA,2ND BN 11THARTY
A2JAA,3RD BN 16THARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30THARTY
A2NAA,1ST BN 92NDARTY
A2SAA,2ND BN 35THARTY
A1SAA,6TH BN 27THARTY
A1TAA,6TH BN 32NDARTY
A1SAA,6TH BN 27THARTY
A1RAA,3RD BN 18THARTY
A1MAA,7TH BN 15THARTY
A1LAA,7TH BN 8TH ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
E8RAA,6TH BN 33RDARTY
E8SAA,5TH BN 42NDARTY
E8TAA,6TH BN 84 ARTY
D3EAA,1ST BN 27 ARTY
DNNAA,2ND BN 94 ARTY
FUZAA,4TH BN 60THARTY
GBTAA,5TH BN 22NDARTY
FUZAA,4TH BN 60THARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
E8TAA,6TH BN 84 ARTY
E8SAA,5TH BN 42NDARTY
E8RAA,6TH BN 33RDARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
A2SAA,2ND BN 35 ARTY
DD1AA,1ST BN 44 ARTY
A2SAA,2ND BN 35 ARTY
A2NAA,1ST BN 92 ARTY
A2LAA,1ST BN 30 ARTY
A2NAA,1ST BN 92 ARTY
A2LAA,1ST BN 30 ARTY
A1MAA,7TH BN 15  ARTY
AV1AA,6TH BN 56AIRDEF
A1MAA,7TH BN 15  ARTY
A1SAA,6TH BN 27 ARTY
A1TAA,6TH BN 32 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
DNNAA,2ND BN 94 ARTY
A1MAA,7TH BN 15  ARTY
AV1AA,6TH BN 56THARTY
A1MAA,7TH BN 15  ARTY
AV1AA,6TH BN 56THARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
A1TAA,6TH BN 32 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13THARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A1TAA,6TH BN 32 ARTY
AV1AA,6TH BN 56THARTY
A1TAA,6TH BN 32 ARTY
A1SAA,6TH BN 27 ARTY
A1MAA,7TH BN 15THARTY
A1LAA,7TH BN 8TH ARTY
A0XAA,HHB 23RD ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A2CAA,3RD BN 6TH ARTY
A2AAA,2ND BN 32 ARTY
A2GAA,5TH BN 27THARTY
A2AAA,2ND BN 32 ARTY
A18AA,6TH BN 14 ARTY
A11AA,1ST BN 83 ARTY
A1TAA,6TH BN 32 ARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30 ARTY
A2NAA,1ST BN 92 ARTY
A2SAA,2ND BN 35 ARTY
A1TAA,6TH BN 32 ARTY
A1SAA,6TH BN 27 ARTY
A1TAA,6TH BN 32 ARTY
A1SAA,6TH BN 27 ARTY
A2AAA,2ND BN 32NDARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13THARTY
A2AAA,2ND BN 32NDARTY
A18AA,6TH BN 14THARTY
A11AA,1ST BN 83RDARTY
A1TAA,6TH BN 32NDARTY
A1SAA,6TH BN 27THARTY
A2GAA,5TH BN 27THARTY
A1SAA,6TH BN 27THARTY
A1RAA,3RD BN 18THARTY
A2JAA,3RD BN 16THARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30THARTY
A2NAA,1ST BN 92NDARTY
A2SAA,2ND BN 35THARTY
A1RAA,3RD BN 18THARTY
A1MAA,7TH BN 15THARTY
A1LAA,7TH BN 8TH ARTY
DFSAA,1ST BN 40THARTY
DD1AA,1ST BN 44THARTY
D3EAA,1ST BN 27THARTY
FNDAA,7TH BN 13THARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
D3EAA,1ST BN 27THARTY
DNNAA,2ND BN 94THARTY
D3EAA,1ST BN 27THARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
FUZAA,4TH BN 60THARTY
GBTAA,5TH BN 22NDARTY
FUZAA,4TH BN 60THARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
DNNAA,2ND BN 94 ARTY
GBTAA,5TH BN 22NDARTY
FUZAA,4TH BN 60THARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FUZAA,4TH BN 60THARTY
FTJAA,7TH BN 9TH ARTY
FUZAA,4TH BN 60THARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FUZAA,4TH BN 60THARTY
GBTAA,5TH BN 22NDARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
AV1AA,6TH BN 56THARTY
A0XAA,HHB 23RD ARTY
A1LAA,7TH BN 8TH ARTY
A1MAA,7TH BN 15  ARTY
DD1AA,1ST BN 44THARTY
DFSAA,1ST BN 40THARTY
DD1AA,1ST BN 44THARTY
DFSAA,1ST BN 40THARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30THARTY
A2KAA,6TH BN 16THARTY
A2SAA,2ND BN 35THARTY
A2NAA,1ST BN 92NDARTY
A2LAA,1ST BN 30THARTY
D3EAA,1ST BN 27THARTY
DNNAA,2ND BN 94 ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FUZAA,4TH BN 60THARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13THARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13THARTY
D3EAA,1ST BN 27 ARTY
DQ7AA,G BTRY 55THARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
E8RAA,6TH BN 33RDARTY
D3EAA,1ST BN 27 ARTY
DFSAA,1ST BN 40 ARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30 ARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30 ARTY
DFSAA,1ST BN 40 ARTY
A2SAA,2ND BN 35 ARTY
DFSAA,1ST BN 40 ARTY
A2SAA,2ND BN 35 ARTY
DFSAA,1ST BN 40 ARTY
A2SAA,2ND BN 35 ARTY
A2LAA,1ST BN 30 ARTY
A2SAA,2ND BN 35 ARTY
A2NAA,1ST BN 92 ARTY
A2LAA,1ST BN 30 ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
A2KAA,6TH BN 16THARTY
DD1AA,1ST BN 44 ARTY
A2KAA,6TH BN 16THARTY
A1SAA,6TH BN 27 ARTY
A1TAA,6TH BN 32 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A1SAA,6TH BN 27 ARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
A02AA,HHB 52ND ARTYGP
DNNAA,2ND BN 94 ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
A1RAA,3RD BN 18THARTY
A1SAA,6TH BN 27 ARTY
A1TAA,6TH BN 32 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13THARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A1RAA,3RD BN 18THARTY
A2JAA,3RD BN 16THARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30THARTY
A2NAA,1ST BN 92NDARTY
A2SAA,2ND BN 35THARTY
A1RAA,3RD BN 18THARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
FUZAA,4TH BN 60THARTY
GBTAA,5TH BN 22NDARTY
FUZAA,4TH BN 60THARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A11AA,1ST BN 83 ARTY
A1TAA,6TH BN 32 ARTY
A1SAA,6TH BN 27 ARTY
A1MAA,7TH BN 15  ARTY
A2LAA,1ST BN 30 ARTY
A2NAA,1ST BN 92 ARTY
A2SAA,2ND BN 35 ARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
DNNAA,2ND BN 94 ARTY
D3EAA,1ST BN 27 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
DNNAA,2ND BN 94 ARTY
FUZAA,4TH BN 60THARTY
FTJAA,7TH BN 9TH ARTY
FNDAA,7TH BN 13 ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FTJAA,7TH BN 9TH ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
FNDAA,7TH BN 13 ARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
E8TAA,6TH BN 84 ARTY
E8RAA,6TH BN 33RDARTY
D3HAA,8TH BN 4TH ARTY
D3EAA,1ST BN 27 ARTY
A1MAA,7TH BN 15  ARTY
A1SAA,6TH BN 27 ARTY
A1TAA,6TH BN 32 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A2FAA,2ND BN 17 ARTY
A2GAA,5TH BN 27THARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
DFSAA,1ST BN 40 ARTY
A2LAA,1ST BN 30 ARTY
A2KAA,6TH BN 16THARTY
DFSAA,1ST BN 40 ARTY
A2LAA,1ST BN 30 ARTY
DFSAA,1ST BN 40 ARTY
A2KAA,6TH BN 16THARTY
DFSAA,1ST BN 40 ARTY
A2KAA,6TH BN 16THARTY
DFSAA,1ST BN 40 ARTY
A2LAA,1ST BN 30 ARTY
DFSAA,1ST BN 40 ARTY
A2SAA,2ND BN 35 ARTY
A2LAA,1ST BN 30 ARTY
A2NAA,1ST BN 92 ARTY
A2LAA,1ST BN 30 ARTY
DD1AA,1ST BN 44 ARTY
A2SAA,2ND BN 35 ARTY
A2NAA,1ST BN 92 ARTY
DNNAA,2ND BN 94 ARTY
A11AA,1ST BN 83 ARTY
A18AA,6TH BN 14 ARTY
A2AAA,2ND BN 32 ARTY
A2CAA,3RD BN 6TH ARTY
A2EAA,2ND BN 13 ARTY
A11AA,1ST BN 83 ARTY
A1TAA,6TH BN 32 ARTY
AV1AA,6TH BN 56THARTY
A1TAA,6TH BN 32 ARTY
A1SAA,6TH BN 27 ARTY
A1RAA,3RD BN 18THARTY
A1MAA,7TH BN 15  ARTY
A2GAA,5TH BN 27THARTY
A1MAA,7TH BN 15  ARTY
A1LAA,7TH BN 8TH ARTY
A2JAA,3RD BN 16THARTY
A2KAA,6TH BN 16THARTY
A2LAA,1ST BN 30THARTY
A2NAA,1ST BN 92NDARTY
A2SAA,2ND BN 35THARTY
A1LAA,7TH BN 8TH ARTY
DFSAA,1ST BN 40 ARTY
DD1AA,1ST BN 44 ARTY
DNNAA,2ND BN 94 ARTY
D3HAA,8TH BN 4TH ARTY
DNNAA,2ND BN 94 ARTY
D3EAA,1ST BN 27 ARTY
DNNAA,2ND BN 94 ARTY
D3EAA,1ST BN 27 ARTY
FNDAA,7TH BN 13 ARTY
FQJAA,5TH BN 2ND ARTY
